"user_id";"total_checkins";"active_days";"first_checkin";"last_checkin";"avg_training_duratation";"avg_calories_burned";"workout_type_count";"total_checkins_post_signup";"first_checkin_post_signup";"last_checkin_post_signup";"days_since_last_checkin";"churned"
"user_102";39;38;"2025-02-18 02:48:25";"2025-12-29 20:06:27";86.3846;697.7692;2;39;"2025-02-18 02:48:25";"2025-12-29 20:06:27";1;0
"user_1020";80;67;"2025-03-08 11:18:03";"2025-12-06 02:59:11";89.9;724.5375;2;80;"2025-03-08 11:18:03";"2025-12-06 02:59:11";24;1
"user_1021";20;19;"2025-01-19 18:29:09";"2025-12-06 15:05:08";94.25;733.4;1;20;"2025-01-19 18:29:09";"2025-12-06 15:05:08";24;1
"user_1022";79;70;"2025-03-02 20:35:08";"2025-10-14 22:32:43";90.6582;728.4557;2;79;"2025-03-02 20:35:08";"2025-10-14 22:32:43";77;1
"user_1023";11;11;"2025-03-13 15:33:22";"2025-11-22 21:24:02";96.0909;783.3636;2;11;"2025-03-13 15:33:22";"2025-11-22 21:24:02";38;1
"user_1024";21;20;"2025-02-25 05:29:02";"2025-12-17 05:10:22";91.9048;720.5238;1;21;"2025-02-25 05:29:02";"2025-12-17 05:10:22";13;0
"user_1025";12;12;"2025-03-10 19:31:06";"2025-12-29 22:59:03";87.1667;692.4167;2;12;"2025-03-10 19:31:06";"2025-12-29 22:59:03";1;0
"user_1026";41;41;"2025-02-19 09:56:40";"2025-12-28 16:06:56";88.5854;682.3415;1;41;"2025-02-19 09:56:40";"2025-12-28 16:06:56";2;0
"user_1027";19;19;"2025-01-23 00:23:48";"2025-12-24 09:44:27";85.5263;646.2105;2;19;"2025-01-23 00:23:48";"2025-12-24 09:44:27";6;0
"user_1028";25;24;"2025-02-04 04:49:43";"2025-12-25 06:29:59";92.76;722.32;2;25;"2025-02-04 04:49:43";"2025-12-25 06:29:59";5;0
"user_1029";47;43;"2025-02-06 02:18:21";"2025-12-30 19:55:59";93.383;770.1064;1;47;"2025-02-06 02:18:21";"2025-12-30 19:55:59";0;0
"user_103";51;48;"2025-01-16 05:53:52";"2025-12-08 23:00:42";86.0392;688.451;1;51;"2025-01-16 05:53:52";"2025-12-08 23:00:42";22;1
"user_1030";21;21;"2025-02-20 06:39:22";"2025-12-08 10:18:29";87.6667;741.2857;2;21;"2025-02-20 06:39:22";"2025-12-08 10:18:29";22;1
"user_1031";66;60;"2025-03-07 17:18:16";"2025-10-24 15:47:36";88.2576;705.0606;1;66;"2025-03-07 17:18:16";"2025-10-24 15:47:36";67;1
"user_1032";50;46;"2025-02-17 20:46:44";"2025-12-24 08:42:16";93.58;744.14;1;50;"2025-02-17 20:46:44";"2025-12-24 08:42:16";6;0
"user_1033";71;62;"2025-02-05 09:11:42";"2025-08-14 00:40:08";89.6901;693.3944;2;71;"2025-02-05 09:11:42";"2025-08-14 00:40:08";138;1
"user_1034";93;81;"2025-01-26 01:16:27";"2025-09-29 03:43:41";83.8065;670.6129;2;93;"2025-01-26 01:16:27";"2025-09-29 03:43:41";92;1
"user_1035";60;55;"2025-01-07 03:43:19";"2025-07-29 21:46:35";92.9;769.7;1;60;"2025-01-07 03:43:19";"2025-07-29 21:46:35";154;1
"user_1036";21;21;"2025-02-15 12:48:49";"2025-12-21 08:17:00";90.2381;743.8095;1;21;"2025-02-15 12:48:49";"2025-12-21 08:17:00";9;0
"user_1037";55;52;"2025-02-17 07:17:12";"2025-12-28 20:27:40";85.0364;689.5091;1;55;"2025-02-17 07:17:12";"2025-12-28 20:27:40";2;0
"user_1038";20;19;"2025-03-11 02:36:44";"2025-12-24 13:17:48";88.3;746.45;1;20;"2025-03-11 02:36:44";"2025-12-24 13:17:48";6;0
"user_1039";63;55;"2025-03-01 12:04:34";"2025-08-07 16:16:15";91.2381;702.5238;2;63;"2025-03-01 12:04:34";"2025-08-07 16:16:15";145;1
"user_104";57;51;"2025-01-14 17:49:55";"2025-12-24 02:59:15";89.0877;697.2982;1;57;"2025-01-14 17:49:55";"2025-12-24 02:59:15";6;0
"user_1040";47;43;"2025-02-15 15:21:30";"2025-12-18 11:46:06";87.8511;708.9574;1;47;"2025-02-15 15:21:30";"2025-12-18 11:46:06";12;0
"user_1041";49;48;"2025-01-07 07:44:47";"2025-12-28 08:30:17";88.8776;727.5714;1;49;"2025-01-07 07:44:47";"2025-12-28 08:30:17";2;0
"user_1042";26;24;"2025-01-25 19:24:30";"2025-12-08 03:03:33";91.2308;741.3077;1;26;"2025-01-25 19:24:30";"2025-12-08 03:03:33";22;1
"user_1043";51;48;"2025-01-29 22:19:59";"2025-12-19 17:15:39";91.2353;734.2157;1;51;"2025-01-29 22:19:59";"2025-12-19 17:15:39";11;0
"user_1044";52;47;"2025-02-10 22:52:58";"2025-12-24 16:30:18";88.0577;697.9038;1;52;"2025-02-10 22:52:58";"2025-12-24 16:30:18";6;0
"user_1045";14;14;"2025-03-07 07:52:47";"2025-11-25 23:00:02";90.2857;728.4286;1;14;"2025-03-07 07:52:47";"2025-11-25 23:00:02";35;1
"user_1046";42;39;"2025-01-28 18:00:28";"2025-12-13 03:35:32";89.3095;745.6905;2;42;"2025-01-28 18:00:28";"2025-12-13 03:35:32";17;0
"user_1047";93;82;"2025-02-01 09:00:42";"2025-10-23 17:10:58";89.3333;708.9892;2;93;"2025-02-01 09:00:42";"2025-10-23 17:10:58";68;1
"user_1048";62;51;"2025-01-27 15:34:10";"2025-08-06 17:15:53";87.4839;697.4677;1;62;"2025-01-27 15:34:10";"2025-08-06 17:15:53";146;1
"user_1049";17;17;"2025-02-25 15:59:07";"2025-12-20 04:44:01";91.5294;740.3529;2;17;"2025-02-25 15:59:07";"2025-12-20 04:44:01";10;0
"user_105";12;12;"2025-03-01 02:03:01";"2025-12-30 04:36:15";92.8333;740.4167;1;12;"2025-03-01 02:03:01";"2025-12-30 04:36:15";0;0
"user_1050";105;90;"2025-01-31 17:41:55";"2025-12-30 01:50:45";89.0857;720.4381;1;105;"2025-01-31 17:41:55";"2025-12-30 01:50:45";0;0
"user_1051";12;12;"2025-02-21 05:36:39";"2025-12-07 18:53:25";83.25;644.75;2;12;"2025-02-21 05:36:39";"2025-12-07 18:53:25";23;1
"user_1052";53;48;"2025-01-11 22:56:46";"2025-12-27 03:13:11";89.7547;727.0943;1;53;"2025-01-11 22:56:46";"2025-12-27 03:13:11";3;0
"user_1053";17;16;"2025-02-16 18:41:34";"2025-12-28 14:25:13";97.1176;795.9412;1;17;"2025-02-16 18:41:34";"2025-12-28 14:25:13";2;0
"user_1054";24;23;"2025-03-12 07:59:27";"2025-11-27 00:35:05";89.875;739.125;1;24;"2025-03-12 07:59:27";"2025-11-27 00:35:05";33;1
"user_1055";11;11;"2025-03-02 23:23:37";"2025-12-17 06:52:38";92.8182;775.0;1;11;"2025-03-02 23:23:37";"2025-12-17 06:52:38";13;0
"user_1056";35;30;"2025-02-28 18:53:36";"2025-12-24 18:59:51";84.1429;690.8857;2;35;"2025-02-28 18:53:36";"2025-12-24 18:59:51";6;0
"user_1057";24;21;"2025-03-14 18:25:42";"2025-12-18 04:07:45";90.2083;748.8333;1;24;"2025-03-14 18:25:42";"2025-12-18 04:07:45";12;0
"user_1058";43;43;"2025-01-23 14:59:29";"2025-12-23 09:50:52";86.4651;697.907;1;43;"2025-01-23 14:59:29";"2025-12-23 09:50:52";7;0
"user_1059";41;40;"2025-01-03 14:04:54";"2025-12-29 01:15:34";83.6829;663.8049;2;41;"2025-01-03 14:04:54";"2025-12-29 01:15:34";1;0
"user_106";65;54;"2025-02-27 09:44:00";"2025-09-13 00:18:42";88.0923;714.4154;1;65;"2025-02-27 09:44:00";"2025-09-13 00:18:42";108;1
"user_1060";48;45;"2025-02-26 14:02:05";"2025-12-30 19:45:03";89.0;709.3542;2;48;"2025-02-26 14:02:05";"2025-12-30 19:45:03";0;0
"user_1061";21;21;"2025-01-29 04:12:05";"2025-12-25 20:04:41";98.4286;741.0952;1;21;"2025-01-29 04:12:05";"2025-12-25 20:04:41";5;0
"user_1062";18;17;"2025-03-07 18:33:27";"2025-12-10 09:49:12";94.6111;751.1667;2;18;"2025-03-07 18:33:27";"2025-12-10 09:49:12";20;0
"user_1063";18;18;"2025-01-17 14:35:23";"2025-11-12 13:35:28";91.1111;747.6111;2;18;"2025-01-17 14:35:23";"2025-11-12 13:35:28";48;1
"user_1064";39;36;"2025-02-05 07:52:41";"2025-11-20 09:56:08";88.3846;730.0256;2;39;"2025-02-05 07:52:41";"2025-11-20 09:56:08";40;1
"user_1065";54;50;"2025-02-07 14:51:27";"2025-12-28 10:03:36";86.7222;721.8148;1;54;"2025-02-07 14:51:27";"2025-12-28 10:03:36";2;0
"user_1066";21;19;"2025-04-10 19:15:46";"2025-12-07 14:03:33";90.9048;756.0476;1;21;"2025-04-10 19:15:46";"2025-12-07 14:03:33";23;1
"user_1067";87;75;"2025-01-18 05:41:55";"2025-09-18 17:54:21";85.6782;678.8046;1;87;"2025-01-18 05:41:55";"2025-09-18 17:54:21";103;1
"user_1068";102;90;"2025-01-27 17:03:20";"2025-12-28 09:52:03";89.6667;740.2255;1;102;"2025-01-27 17:03:20";"2025-12-28 09:52:03";2;0
"user_1069";46;40;"2025-02-08 00:05:48";"2025-12-30 08:31:08";90.1957;696.6739;2;46;"2025-02-08 00:05:48";"2025-12-30 08:31:08";0;0
"user_107";40;38;"2025-02-28 20:36:52";"2025-12-20 04:24:46";84.825;652.525;1;40;"2025-02-28 20:36:52";"2025-12-20 04:24:46";10;0
"user_1070";64;55;"2025-01-23 01:17:50";"2025-07-25 07:20:27";90.8594;727.7813;2;64;"2025-01-23 01:17:50";"2025-07-25 07:20:27";158;1
"user_1071";66;61;"2025-02-10 11:06:19";"2025-09-26 05:27:51";89.6061;710.197;1;66;"2025-02-10 11:06:19";"2025-09-26 05:27:51";95;1
"user_1072";84;69;"2025-02-02 02:14:31";"2025-09-21 07:42:08";90.0238;741.0714;2;84;"2025-02-02 02:14:31";"2025-09-21 07:42:08";100;1
"user_1073";83;76;"2025-02-11 11:21:25";"2025-10-22 05:28:39";88.1807;696.7349;1;83;"2025-02-11 11:21:25";"2025-10-22 05:28:39";69;1
"user_1074";72;62;"2025-02-15 19:43:03";"2025-09-11 07:06:39";86.6944;680.5833;2;72;"2025-02-15 19:43:03";"2025-09-11 07:06:39";110;1
"user_1075";16;16;"2025-01-12 07:09:56";"2025-12-12 02:50:12";90.75;698.5;1;16;"2025-01-12 07:09:56";"2025-12-12 02:50:12";18;0
"user_1076";48;43;"2025-02-05 11:07:22";"2025-12-28 04:20:47";87.4375;713.5625;1;48;"2025-02-05 11:07:22";"2025-12-28 04:20:47";2;0
"user_1077";52;47;"2025-02-22 03:26:04";"2025-12-13 13:56:48";94.0385;746.6154;1;52;"2025-02-22 03:26:04";"2025-12-13 13:56:48";17;0
"user_1078";26;24;"2025-01-11 08:03:55";"2025-12-23 07:59:26";88.5769;695.3846;1;26;"2025-01-11 08:03:55";"2025-12-23 07:59:26";7;0
"user_1079";77;69;"2025-02-20 23:20:59";"2025-10-28 21:05:36";91.3117;740.2857;1;77;"2025-02-20 23:20:59";"2025-10-28 21:05:36";63;1
"user_108";20;20;"2025-02-20 22:44:17";"2025-11-30 07:53:42";89.7;757.6;2;20;"2025-02-20 22:44:17";"2025-11-30 07:53:42";30;1
"user_1080";13;13;"2025-03-16 03:40:14";"2025-12-28 12:41:24";90.9231;736.0;1;13;"2025-03-16 03:40:14";"2025-12-28 12:41:24";2;0
"user_1081";18;16;"2025-03-02 12:49:19";"2025-12-28 13:43:14";96.9444;725.1667;2;18;"2025-03-02 12:49:19";"2025-12-28 13:43:14";2;0
"user_1082";124;109;"2025-01-02 02:50:38";"2025-12-23 16:12:02";91.6371;740.3468;2;124;"2025-01-02 02:50:38";"2025-12-23 16:12:02";7;0
"user_1083";39;36;"2025-02-06 09:31:10";"2025-12-28 05:36:40";90.6154;743.6154;1;39;"2025-02-06 09:31:10";"2025-12-28 05:36:40";2;0
"user_1084";23;23;"2025-02-08 06:23:57";"2025-12-17 19:28:41";88.3043;725.6957;2;23;"2025-02-08 06:23:57";"2025-12-17 19:28:41";13;0
"user_1085";13;13;"2025-02-21 18:57:42";"2025-10-30 16:15:44";88.0769;676.0769;2;13;"2025-02-21 18:57:42";"2025-10-30 16:15:44";61;1
"user_1086";45;41;"2025-02-12 13:29:30";"2025-12-25 15:28:01";87.1556;691.8889;1;45;"2025-02-12 13:29:30";"2025-12-25 15:28:01";5;0
"user_1087";53;48;"2025-02-11 12:45:36";"2025-12-27 16:00:48";90.566;725.9434;2;53;"2025-02-11 12:45:36";"2025-12-27 16:00:48";3;0
"user_1088";119;106;"2025-01-02 13:15:00";"2025-11-15 06:40:29";92.2521;756.2185;1;119;"2025-01-02 13:15:00";"2025-11-15 06:40:29";45;1
"user_1089";15;15;"2025-02-08 01:43:31";"2025-12-19 00:02:02";88.4;742.4;1;15;"2025-02-08 01:43:31";"2025-12-19 00:02:02";11;0
"user_109";86;71;"2025-01-23 13:27:48";"2025-08-29 12:02:01";90.1628;730.1977;2;86;"2025-01-23 13:27:48";"2025-08-29 12:02:01";123;1
"user_1090";60;51;"2025-02-17 13:55:46";"2025-07-21 22:46:57";89.2;713.3167;2;60;"2025-02-17 13:55:46";"2025-07-21 22:46:57";162;1
"user_1091";19;18;"2025-02-07 12:04:36";"2025-11-19 12:48:48";89.2632;735.4211;1;19;"2025-02-07 12:04:36";"2025-11-19 12:48:48";41;1
"user_1092";45;45;"2025-02-02 13:19:18";"2025-12-14 04:29:00";90.9333;755.9111;2;45;"2025-02-02 13:19:18";"2025-12-14 04:29:00";16;0
"user_1093";45;44;"2025-01-03 17:28:36";"2025-12-30 21:35:39";87.3333;707.7333;1;45;"2025-01-03 17:28:36";"2025-12-30 21:35:39";0;0
"user_1094";39;36;"2025-03-02 01:08:36";"2025-12-24 18:19:11";95.359;761.0769;1;39;"2025-03-02 01:08:36";"2025-12-24 18:19:11";6;0
"user_1095";67;59;"2025-01-04 02:14:53";"2025-09-11 18:17:31";90.4328;729.8209;2;67;"2025-01-04 02:14:53";"2025-09-11 18:17:31";110;1
"user_1096";102;89;"2025-01-21 04:54:58";"2025-12-10 11:46:57";88.2059;711.0196;1;102;"2025-01-21 04:54:58";"2025-12-10 11:46:57";20;0
"user_1097";71;61;"2025-02-14 19:00:31";"2025-09-12 20:09:54";86.8451;679.8028;1;71;"2025-02-14 19:00:31";"2025-09-12 20:09:54";109;1
"user_1098";112;96;"2025-01-14 19:00:41";"2025-12-28 11:52:23";89.3304;704.1786;2;112;"2025-01-14 19:00:41";"2025-12-28 11:52:23";2;0
"user_1099";31;31;"2025-01-11 19:06:42";"2025-12-09 19:17:14";91.8387;720.3226;1;31;"2025-01-11 19:06:42";"2025-12-09 19:17:14";21;0
"user_11";82;72;"2025-02-15 11:50:20";"2025-09-04 22:50:04";89.9634;729.378;1;82;"2025-02-15 11:50:20";"2025-09-04 22:50:04";117;1
"user_110";74;62;"2025-01-21 10:11:05";"2025-08-03 08:54:19";90.1622;735.5541;1;74;"2025-01-21 10:11:05";"2025-08-03 08:54:19";149;1
"user_1100";59;52;"2025-01-10 18:06:25";"2025-12-15 18:14:42";87.322;704.0508;1;59;"2025-01-10 18:06:25";"2025-12-15 18:14:42";15;0
"user_1101";71;64;"2025-01-06 01:54:24";"2025-07-19 23:02:58";92.4085;751.2535;1;71;"2025-01-06 01:54:24";"2025-07-19 23:02:58";164;1
"user_1102";18;18;"2025-03-12 18:58:14";"2025-12-26 09:38:55";87.5556;692.1667;2;18;"2025-03-12 18:58:14";"2025-12-26 09:38:55";4;0
"user_1103";12;12;"2025-03-23 00:00:30";"2025-11-28 15:41:43";92.25;660.8333;1;12;"2025-03-23 00:00:30";"2025-11-28 15:41:43";32;1
"user_1104";11;11;"2025-03-23 04:41:27";"2025-12-29 07:01:02";90.3636;730.0;2;11;"2025-03-23 04:41:27";"2025-12-29 07:01:02";1;0
"user_1105";13;13;"2025-02-09 08:32:17";"2025-12-30 10:08:35";90.4615;744.1538;1;13;"2025-02-09 08:32:17";"2025-12-30 10:08:35";0;0
"user_1106";63;52;"2025-01-13 08:49:51";"2025-08-21 13:56:04";90.873;712.0476;1;63;"2025-01-13 08:49:51";"2025-08-21 13:56:04";131;1
"user_1107";63;58;"2025-02-20 21:32:08";"2025-12-06 03:21:14";86.5556;699.4127;1;63;"2025-02-20 21:32:08";"2025-12-06 03:21:14";24;1
"user_1108";20;17;"2025-01-31 03:23:33";"2025-11-27 00:56:30";83.2;675.9;2;20;"2025-01-31 03:23:33";"2025-11-27 00:56:30";33;1
"user_1109";12;12;"2025-02-18 14:43:10";"2025-10-06 00:13:41";96.1667;798.0;1;12;"2025-02-18 14:43:10";"2025-10-06 00:13:41";85;1
"user_111";109;89;"2025-02-16 06:12:27";"2025-12-11 15:13:28";92.3853;734.2844;2;109;"2025-02-16 06:12:27";"2025-12-11 15:13:28";19;0
"user_1110";61;50;"2025-02-26 07:04:24";"2025-10-05 17:55:01";94.4262;759.3607;1;61;"2025-02-26 07:04:24";"2025-10-05 17:55:01";86;1
"user_1111";19;18;"2025-02-04 05:10:14";"2025-11-23 23:58:39";78.0;558.3684;1;19;"2025-02-04 05:10:14";"2025-11-23 23:58:39";37;1
"user_1112";73;64;"2025-02-18 23:37:40";"2025-11-11 13:43:57";89.8904;731.0;2;73;"2025-02-18 23:37:40";"2025-11-11 13:43:57";49;1
"user_1113";101;86;"2025-02-21 13:38:09";"2025-12-29 05:22:41";92.5644;735.7327;1;101;"2025-02-21 13:38:09";"2025-12-29 05:22:41";1;0
"user_1114";57;53;"2025-01-06 04:08:12";"2025-12-24 02:44:35";87.6491;710.1228;1;57;"2025-01-06 04:08:12";"2025-12-24 02:44:35";6;0
"user_1115";50;46;"2025-02-18 13:39:42";"2025-12-30 14:56:57";82.78;668.18;1;50;"2025-02-18 13:39:42";"2025-12-30 14:56:57";0;0
"user_1116";44;42;"2025-02-28 00:29:27";"2025-12-29 06:22:33";91.3864;735.4545;2;44;"2025-02-28 00:29:27";"2025-12-29 06:22:33";1;0
"user_1117";62;57;"2025-01-05 07:42:58";"2025-08-12 22:28:10";86.5806;697.3548;2;62;"2025-01-05 07:42:58";"2025-08-12 22:28:10";140;1
"user_1118";20;20;"2025-03-14 18:31:53";"2025-12-30 13:25:11";84.2;653.6;1;20;"2025-03-14 18:31:53";"2025-12-30 13:25:11";0;0
"user_1119";81;71;"2025-01-07 07:37:20";"2025-10-04 16:42:24";92.5679;750.3333;1;81;"2025-01-07 07:37:20";"2025-10-04 16:42:24";87;1
"user_112";81;70;"2025-02-19 09:17:18";"2025-12-21 09:14:58";88.3827;690.8395;1;81;"2025-02-19 09:17:18";"2025-12-21 09:14:58";9;0
"user_1120";98;82;"2025-02-16 23:43:39";"2025-12-22 10:28:56";89.5918;713.0306;1;98;"2025-02-16 23:43:39";"2025-12-22 10:28:56";8;0
"user_1121";12;11;"2025-02-05 02:57:39";"2025-11-18 18:31:11";82.8333;712.0;1;12;"2025-02-05 02:57:39";"2025-11-18 18:31:11";42;1
"user_1122";12;11;"2025-01-27 05:48:33";"2025-12-20 05:27:13";84.3333;664.0;2;12;"2025-01-27 05:48:33";"2025-12-20 05:27:13";10;0
"user_1123";19;18;"2025-02-19 12:03:13";"2025-12-28 20:16:52";84.0;657.4737;1;19;"2025-02-19 12:03:13";"2025-12-28 20:16:52";2;0
"user_1124";24;23;"2025-02-02 06:39:31";"2025-12-27 06:58:27";91.6667;731.0833;1;24;"2025-02-02 06:39:31";"2025-12-27 06:58:27";3;0
"user_1125";36;34;"2025-02-14 12:51:43";"2025-12-27 21:29:29";84.2222;687.3056;1;36;"2025-02-14 12:51:43";"2025-12-27 21:29:29";3;0
"user_1126";43;40;"2025-03-03 16:26:01";"2025-12-30 23:43:17";92.7674;722.7209;1;43;"2025-03-03 16:26:01";"2025-12-30 23:43:17";0;0
"user_1127";61;53;"2025-01-27 12:11:19";"2025-09-09 06:08:20";85.6885;686.3607;2;61;"2025-01-27 12:11:19";"2025-09-09 06:08:20";112;1
"user_1128";45;41;"2025-01-11 06:02:17";"2025-12-25 00:54:20";92.5556;740.0667;1;45;"2025-01-11 06:02:17";"2025-12-25 00:54:20";5;0
"user_1129";53;50;"2025-01-07 06:03:32";"2025-12-25 08:27:06";91.3396;721.0;2;53;"2025-01-07 06:03:32";"2025-12-25 08:27:06";5;0
"user_113";16;16;"2025-02-17 17:22:28";"2025-12-30 02:17:06";91.6875;777.25;1;16;"2025-02-17 17:22:28";"2025-12-30 02:17:06";0;0
"user_1130";106;87;"2025-01-17 23:57:57";"2025-11-07 23:31:17";90.0472;715.5943;2;106;"2025-01-17 23:57:57";"2025-11-07 23:31:17";53;1
"user_1131";23;22;"2025-03-05 17:20:43";"2025-12-28 04:02:32";86.9565;697.5217;2;23;"2025-03-05 17:20:43";"2025-12-28 04:02:32";2;0
"user_1132";38;36;"2025-01-27 17:14:58";"2025-12-02 19:39:31";93.0526;728.8684;1;38;"2025-01-27 17:14:58";"2025-12-02 19:39:31";28;1
"user_1133";73;57;"2025-01-04 01:14:59";"2025-08-09 01:58:55";89.0959;722.2603;2;73;"2025-01-04 01:14:59";"2025-08-09 01:58:55";143;1
"user_1134";61;54;"2025-01-17 06:53:38";"2025-07-31 06:27:11";82.4426;658.1311;2;61;"2025-01-17 06:53:38";"2025-07-31 06:27:11";152;1
"user_1135";19;19;"2025-02-12 16:13:46";"2025-11-28 14:34:25";92.5789;741.7895;1;19;"2025-02-12 16:13:46";"2025-11-28 14:34:25";32;1
"user_1136";72;60;"2025-01-03 19:20:32";"2025-06-29 05:01:46";89.25;733.3889;1;72;"2025-01-03 19:20:32";"2025-06-29 05:01:46";184;1
"user_1137";12;11;"2025-03-11 06:51:30";"2025-11-30 15:10:06";77.0;658.0;2;12;"2025-03-11 06:51:30";"2025-11-30 15:10:06";30;1
"user_1138";49;43;"2025-02-24 00:38:55";"2025-12-30 19:34:05";91.4694;725.7959;1;49;"2025-02-24 00:38:55";"2025-12-30 19:34:05";0;0
"user_1139";47;47;"2025-02-01 15:31:46";"2025-12-24 16:51:43";85.4894;686.8511;2;47;"2025-02-01 15:31:46";"2025-12-24 16:51:43";6;0
"user_114";24;23;"2025-03-25 08:04:24";"2025-12-23 16:12:54";93.375;749.3333;2;24;"2025-03-25 08:04:24";"2025-12-23 16:12:54";7;0
"user_1140";50;45;"2025-01-18 05:33:50";"2025-12-29 23:23:39";88.78;731.88;1;50;"2025-01-18 05:33:50";"2025-12-29 23:23:39";1;0
"user_1141";19;18;"2025-02-27 11:00:49";"2025-12-26 12:36:44";91.1053;721.0526;2;19;"2025-02-27 11:00:49";"2025-12-26 12:36:44";4;0
"user_1142";30;29;"2025-02-08 20:00:31";"2025-12-30 20:29:27";93.6667;754.1667;1;30;"2025-02-08 20:00:31";"2025-12-30 20:29:27";0;0
"user_1143";21;21;"2025-02-27 01:42:08";"2025-12-25 02:34:54";88.9048;708.7619;1;21;"2025-02-27 01:42:08";"2025-12-25 02:34:54";5;0
"user_1144";41;39;"2025-02-25 14:00:44";"2025-11-30 12:46:34";87.9268;695.0;2;41;"2025-02-25 14:00:44";"2025-11-30 12:46:34";30;1
"user_1145";61;53;"2025-01-22 17:03:41";"2025-08-04 14:17:15";92.6557;738.6066;1;61;"2025-01-22 17:03:41";"2025-08-04 14:17:15";148;1
"user_1146";17;16;"2025-01-15 02:03:10";"2025-12-23 05:34:14";91.5882;772.8824;1;17;"2025-01-15 02:03:10";"2025-12-23 05:34:14";7;0
